34.78291,32.09075
34.78289,32.09065
34.78288,32.09057
34.78287,32.09047
34.78285,32.09037
34.78284,32.09028
34.78282,32.09016
34.7828,32.09005
34.78277,32.08993
34.78275,32.08982
34.78273,32.08972
34.78271,32.08961
34.78269,32.08951
34.78268,32.08941
34.78265,32.08932
34.78263,32.08922
34.78261,32.08913
34.78259,32.08905
34.78256,32.08896
34.78255,32.08888
34.78254,32.0888
34.78253,32.08872
34.78251,32.08865
34.78249,32.08858
34.78247,32.08849
34.78245,32.0884
34.78244,32.08832
34.7824,32.08816
34.78242,32.08824
34.78238,32.08808
34.78236,32.08801
34.78235,32.08793
